tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4
0	-370.6739501953125	-1	0	1	0	0	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
1	-370.6739501953125	-1	0	3	0	0	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
2	-370.6739501953125	-1	0	0	0	1	0.44545456767082214	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
3	-370.6739501953125	-1	0	1	0	1	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
4	-370.6739501953125	-1	0	3	0	1	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
5	-370.6739501953125	-1	0	0	1	0	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
6	-370.6739501953125	-1	0	1	1	0	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666567325592	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
7	-370.6739501953125	-1	0	3	1	0	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
8	-370.6739501953125	-1	0	0	1	1	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
9	-370.6739501953125	-1	0	1	1	1	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
10	-370.6739501953125	-1	0	3	1	1	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.0736842080950737	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
11	-370.6740417480469	-1	0	0	0	0	0.44573378562927246	0.2313433587551117	0.01919305883347988	0.07358360290527344	0.12161377817392349	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
12	-371.35870361328125	-1	0	0	0	3	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.09875549376010895	0.09875549376010895	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
13	-371.35870361328125	-1	0	1	0	3	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.09875549376010895	0.09875549376010895	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
14	-371.35870361328125	-1	0	0	1	3	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.09875549376010895	0.09875549376010895	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
15	-371.35870361328125	-1	0	1	1	3	0.44545453786849976	0.23157894611358643	0.01923076994717121	0.09875549376010895	0.09875549376010895	0.4098360538482666	0.1666666567325592	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
16	-372.1088562011719	-1	0	3	0	3	0.44545453786849976	0.23157894611358643	0.008829087018966675	0.10374876856803894	0.09491965174674988	0.4098360538482666	0.1666666716337204	0.021739130839705467	0.0784313753247261	9.999999974752427e-07
